thesis,subject
"

Parallel Libraries to support High-Level Programming",Mathematics Subject Classification: 68—Computer science
"

Apollo: End-to-end Verifiable Internet Voting with Recovery from Vote Manipulation",Mathematics Subject Classification: 68—Computer science
"

Analysis Of Arx Round Functions In Secure Hash Functions",Mathematics Subject Classification: 68—Computer science
"

Principle and Practice of Distributing Low and High Resolution Display Content from One Computer to Many Computers in Stand-alone or Display Wall Configurations",Mathematics Subject Classification: 68—Computer science
"

The Privacy and Verifiability of Voting Systems: Measures and Limits","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Numerical Algorithms for Exotic Financial Derivatives",Mathematics Subject Classification: 68—Computer science
"

","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Plasmonic and Photonic sensors with 2D materials and novel mechanisms",Mathematics Subject Classification: 00—General
"

The Second Chance Offer: Optimal Strategies for Sellers and Bidders",Mathematics Subject Classification: 68—Computer science
"

Décompositions et Algorithmes Proximaux pour l'Analyse et le Traitement Itératif des Signaux","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Inclusions Monotones en Dualité et Applications","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Operator Theoretic Image Coding","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Méthodes d'Éclatement Basées sur les Distances
de Bregman pour les Inclusions Monotones Composites
et l'Optimisation",Mathematics Subject Classification: 46—Functional analysis
"

Approximation et Résolution de Problèmes d'Équilibre, de Point Fixe et d'Inclusion Monotone","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Non-Differentiable Constrained Signal Restoration by Subgradient Level Methods","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Stratégies multicouche, avec mémoire, et à métrique variable en méthodes de point fixe pour l’éclatement d’opérateurs monotones et l’optimisation",Mathematics Subject Classification: 47—Operator theory
"

Algorithmes de Projections Convexes Généralisées et Applications en Imagerie Médicale","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Set Theoretic Estimation in Digital Signal Processing","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Problèmes d'inclusions couplées: éclatement, algorithmes et applications","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Practical Privacy","Mathematics Subject Classification: 94—Information and communication, circuits"
"

The Analysis of Interconnections of Sequential Machines by Polynomial Functions",Mathematics Subject Classification: 93—Systems theory; control
"

On Weak Compactness in Functional Analysis",Mathematics Subject Classification: 46—Functional analysis
"

Distributionally robust optimization with applications to risk management",Mathematics Subject Classification: 68—Computer science
