thesis,subject
"

Essays in Labor Economics: Empirical Methods and Evaluations of Social and Employment Programs","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Labor Economics and Political Economy","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Empirical Essays on Employment and Labor-Management Relations","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Labor Supply Model Evaluation and Internet Job Search","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on the Economics of Medicare","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Economics of Methadone Maintenance","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

How to Raise Women's Wage : An Evaluation of a Women's Liberation Proposal Within the Context of a General Equilibrium Model","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The sensitivity of measured comprehensive income inequality to aggregation, reranking and underreporting","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Urban renewal : three redistributive relationships : a case study, Hyde Park A and B","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The interest elasticity of household savings under selected models of intertemporal optimization : a microeconomic method","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Comparative rates of return to black college graduates : the black versus the nonblack schools","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Labor Supply Functions and Their Implicit Expenditure Functions : Theoretical Derivation and Application in Microsimulation","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Evaluating the Benefits of Neighborhood Change","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The effect of net social security wealth on the accumulation and distribution of nonhuman wealth","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Some Conceptual Aspects of the Comparative Measurement of Economic Growth","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Income tax treatment of families with children","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in macroeconomics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in international trade and finance","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three essays on financial and currency crises in emerging markets","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Real exchange rate swings and export behavior: Explaining the robustness of Chilean exports","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Real effects of monetary policy with non-atomistic agents","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Labor Economics and Panel Data Analysis","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Efficacy and Secondary Effects of Pharmaceutical Drug Legislation","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Labor Economics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three essays on trade policies and corruption","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Social Norms and Tax Compliance","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on balance sheets, exchange rate policy, and macroeconomic performance","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three essays on fiscal volatility","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Labor Economics and Applied Microeconomics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on monetary policy and debt accumulation","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Effects of Taxes on the Supply of Labor: with Special Reference to Income Maintenance Programs","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Health, Work, Poverty, and Income Inequality","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Explaining well-being: essays on the socio-economic factors accompanying life satisfaction","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

An Economic Model of Fertility, Migration, and Settlement in the Rural Northern United States : 1790-1900","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Weight variations among preschoolers: An analysis of evidence from rural Tamilnadu","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in the Organisation and Performance of Auction Markets","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three Essays on the Economics of Crime","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Skills and Victimization","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three essays on the labor market","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Illegal and legal immigration and domestic public policy","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

An empirical puzzle in wage differentials","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

A Duration Analysis of Sovereign Debt","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Structural Change in Cointegrated Systems  Theory and Applications",Mathematics Subject Classification: 62—Statistics
"

Microeconomic Effects of Health Interventions on Health Outcomes, Health Care Utilization, and Family Prosperity","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Labor Markets and Higher Education","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three applications of propensity score matching in microeconomics and corporate finance: United States internal migration; seasoned equity offerings; attrition in a randomized experiment","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three Essays on Regression Discontinuity Design and Partial Identification",Mathematics Subject Classification: 62—Statistics
"

Trade, training, employment, and wages: Evidence from the U.S. manufacturing industry","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on economic development and climate change","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The closed-end fund puzzle: Theory and evidence from equity closed-end funds","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Volume and composition of individual's saving in the United States","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on International Asset Pricing","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Structural Econometric Modeling and Machine Learning","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Empirical Industrial Organization","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three essays in applied econometrics with applications to international trade and finance","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Agricultural Price Policy in Peru","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Specification testing with information matrix equalities",Mathematics Subject Classification: 62—Statistics
"

Essays in Applied Microeconomics and Econometrics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

International portfolio choice and the sources of non-diversification","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Information model inference from asset price dynamics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Demand for Services of Local Governments : Theory and Evidence","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Labor Economics and Econometrics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three essays on environment and development","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Health and Development Economics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three Essays in Public Economics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Responses to Institutional Constraints","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Growth of Non-Federal Public Employment in the United states, 1900 to 1963","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Applied Microeconomics and Econometrics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Towards an Economic Theory of the Apartheid State","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Effects of Higher Education Subsidies in Kind on Individual Student Choices","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Efficiency in Public Provision of Medical Care","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The concepts of major business and labor organizations on the role of government in the economy","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Measuring hospital quality of care: A study of the failure rate, adverse-occurrence rate and death rate","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Role of the Courts in Labor Disputes","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Aggregate Aspects of the Poor Law, Unemployment Insurance and Unemployment in Britain from 1855-1910","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three Essays on Managed Care and Dual Eligibles","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Incidence of Public Expenditure : Public Housing as an Illustrative Example","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three Essays on Statistical Methods for Complexity Economics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Design of Agency Relations: Four Essays on Contract Theory, Applications, and Experimentation","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Econometric essays on structural change and factor models with macroeconomic applications",Mathematics Subject Classification: 62—Statistics
"

Understanding changes in diet, physical activity and weight among adults in China","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Econometric methods related to parameter instability, long memory and forecasting",Mathematics Subject Classification: 62—Statistics
"

Fertility rate, use of cesarean delivery, and the role of information gap: Evidence from Taiwan","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Health Care Providers' Response to Payment Incentives: Evidence from Medicare Home Health Care","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The effect of obesity on labor market outcomes","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Unit root, outliers and cointegration analysis with macroeconomic applications",Mathematics Subject Classification: 62—Statistics
"

Frequency domain aspects of aggregation",Mathematics Subject Classification: 62—Statistics
