thesis,subject
"

Size Oblivious Programming of Clusters for Irregular Parallelism",Mathematics Subject Classification: 68—Computer science
"

Nested Transactions: An Approach to Reliable Distributed Computing",Mathematics Subject Classification: 68—Computer science
"

Stochastic Models of Evolutionary Dynamics",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Building Self-Protecting Software with Active and Passive Defenses",Mathematics Subject Classification: 68—Computer science
"

Understanding and Improving the Performance of Modern Programming Languages",Mathematics Subject Classification: 68—Computer science
"

Geometric Symmetry in Graphs",Mathematics Subject Classification: 68—Computer science
"

Periodische Funktionenräume, Interpolationstheorie und elliptische Differentialoperatoren",Mathematics Subject Classification: 46—Functional analysis
"

Räume vom Typ $B^s_{p,q,\alpha,\beta}$, $H^s_{p,\alpha,\beta}$, $W^s_{p,\alpha,\beta}$ bezüglich Jacobi-Fourier-Entwicklungen",Mathematics Subject Classification: 46—Functional analysis
"

Äquivalente Normen und Schaudersche Basen in anisotropen Besov-Räumen",Mathematics Subject Classification: 46—Functional analysis
"

Lightweight Support for Fine-Grained Persistence on Stock Hardware",Mathematics Subject Classification: 68—Computer science
"

Exact Steering in Control Moment Gyroscope Systems",Mathematics Subject Classification: 93—Systems theory; control
"

Parallel Techniques for Paths, Visibility, and Related Problems",Mathematics Subject Classification: 68—Computer science
"

On Geometric Optimization Problems",Mathematics Subject Classification: 68—Computer science
"

Abstract Models of Molecular Walkers","Mathematics Subject Classification: 82—Statistical mechanics, structure of matter"
"

Multivalent Random Walkers: A Model for Superdiffusive Nanoscale Transport","Mathematics Subject Classification: 82—Statistical mechanics, structure of matter"
"

Improving Resource Utilization of Enterprise-Level World-Wide Web Proxy Servers",Mathematics Subject Classification: 68—Computer science
"

Efficient, Searchable, Graph‐structured File System Metadata Services",Mathematics Subject Classification: 68—Computer science
"

",Mathematics Subject Classification: 11—Number theory
"

Second Order Recurrence Sequences and Pseudoprim Numbers",Mathematics Subject Classification: 11—Number theory
