thesis,subject
"

Three Essays on Spatial Econometric Models with Missing Data","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Productivity, Labor Allocations, and Intangible Capital","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Fiscal Policy : Computational Accuracy and Optimal Investments in Public, Private, and Human Capital","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on health and well-being","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Economic Impact, Location Choices and Assimilation of Immigrants","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Applied Microeconomics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Effects of Government Policy on Business Cycles and Productivity Growth","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Trade, Transportation Costs and Development","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three Essays in Industrial Organization","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Healthcare and Interaction Between Public System and Private Sector","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three Essays on Competition Policy","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Industrial Organization and International Trade","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on health and medical care","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Productivity, Aggregate Demand and Unemployment Fluctuations","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Aggregate implications of household savings behavior: Theoretical analyses with empirical evidence from the German reunification “experiment”","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Seasonal Adjustment and Dynamic Linear Models",Mathematics Subject Classification: 62—Statistics
"

Essays on incomplete markets, liquidity and risk sharing","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on economic crises and institutions","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Firm Formation","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Labor Economics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Post-patent Prescription Pharmaceuticals","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Zur Geschichte der nationalökonomischen Ansichten in Deutschland während der Reformationsperiode","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Socialization of Leaders in Family Business : an Exploratory Study of Gender","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Product Demand Patterns, Labor Market Frictions and Macroeconomic Outcomes","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Applied Labor Economics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

L'Economie mathématique en France au temps de Walras","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Some Asymptotic Results for Weakly Interacting Particle Systems",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Essays in Labor and Public Economics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Role of Reference-Dependent Preferences in Auctions and Negotiations","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Industrielle Cluster: Messung und ökonomische Interpretation","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Top of Mind in Task-Based Environments and Choice Under Risk","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Consumer and Corporate Finance","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Inflation, Intermediation and Economic Activity","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Mortgage defaults and mortgage modification policies","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Labor market dynamics and individual learning ability","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Labor Supply","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Immigration, Income Inequality, and Population Dynamics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Psychological and Political Economics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Human Capital Formation","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Information Leakage","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Competition in Nonmarket Environments","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Stochastic Control, Optimal Saving, and Job Search in Continuous Time","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Convergence, divergence and changing trade patterns : theoretical inquiries into the role of preferences, factor accumulation, technological change and government intervention","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Behavior in High-Interest Credit Markets","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three Essays on the Theory of Contracts","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The federal-provincial fiscal policies: a short term analysis with application to the Quebec economy","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Social Choice and Resource Allocation in a Professional Sports League","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Strategic Incentives in Multivalued Social Choice Processes","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Three Essays in Econometrics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Return on Cognitive Ability in the Labor Market","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

An analysis of the changing proportion of nonproduction workers in U.S. manufacturing industries","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Optimal Control of a Manpower Hierarchy with Demand Uncertainty","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Essays in Economics of Expansion","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Simplifying Dynamic Models by Retaining Selected Behavior Modes",Mathematics Subject Classification: 93—Systems theory; control
"

Essays in Macroeconomics","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
