thesis,subject
"

Cubulations de variétés hyperboliques compactes",Mathematics Subject Classification: 20—Group theory and generalizations
"

Torsion analytique dans les revêtements finis",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Identities on hyperbolic manifolds and quasiconformal homogeneity of hyperbolic surfaces",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Cohomology of Some Subgroups of the Automorphism Group of a Free Group",Mathematics Subject Classification: 20—Group theory and generalizations
"

Compactifying the Space of Length Functions of a Right-angled Artin Group",Mathematics Subject Classification: 20—Group theory and generalizations
"

Toward an outer space for right-angled Artin groups",Mathematics Subject Classification: 20—Group theory and generalizations
"

Analogues of Dedekind Sums",Mathematics Subject Classification: 11—Number theory
"

Distribution Problems Associated To Zeta Functions And Invariant Theory",Mathematics Subject Classification: 11—Number theory
"

Topics in Analytic Number Theory",Mathematics Subject Classification: 11—Number theory
"

Distribution of Selmer Groups of Quadratic Twists of a Family of Elliptic Curves",Mathematics Subject Classification: 11—Number theory
"

Trace problems in algebraic number fields and applications to characters of finite groups",Mathematics Subject Classification: 11—Number theory
"

Modular equations and Ramanujan's cubic and quartic theories of theta functions",Mathematics Subject Classification: 11—Number theory
"

Contributions to Theory of Q-Series and Mock Theta Functions",Mathematics Subject Classification: 11—Number theory
"

Contributions to Trigonometric Sums and Mock Theta Functions",Mathematics Subject Classification: 11—Number theory
"

Identities involving theta functions and analogues of theta functions",Mathematics Subject Classification: 11—Number theory
"

Hypergeometric Functions, Continued Fractions for Products of Gamma Functions, and q-Analogues",Mathematics Subject Classification: 11—Number theory
"

A homotopical approach to KK-theory",Mathematics Subject Classification: 55—Algebraic topology
"

Error Term Improvements for van der Corput Transforms",Mathematics Subject Classification: 11—Number theory
"

Heisenberg modules and Balian-Low Theorems: Applications of operator algebras to Gabor analysis",Mathematics Subject Classification: 46—Functional analysis
"

Congruences in modular, Jacobi, Siegel, and mock modular forms with applications",Mathematics Subject Classification: 11—Number theory
"

Geometric and ergodic properties of certain classes of continued fractions",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
"

Continued Fractions and Representations of Graphs",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
"

Applications of dynamical systems to Farey sequences and continued fractions",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
"

Operator Algebras Methods in Ergodic Theory",Mathematics Subject Classification: 46—Functional analysis
"

Duality theorems for C*-algebras, multiplier algebra in duality contexts,
Tietze extension theorem and related results",Mathematics Subject Classification: 47—Operator theory
"

Extensions and Applications of Persistence Based Algorithms in Computational Topology",Mathematics Subject Classification: 52—Convex and discrete geometry
"

Amenability Properties of the Von Neumann Algebras Associated with the Generalized Thompson Groups",Mathematics Subject Classification: 47—Operator theory
"

Random Variables in a Graph $W^*$-Probability Space",Mathematics Subject Classification: 47—Operator theory
"

Generalized Free Products of Measurable Equivalence Relations and Unital C*-Algebras",Mathematics Subject Classification: 47—Operator theory
"

The Rational Homotopy Types of Configuration Spaces of Three-Dimensional Lens Spaces.",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Bost-Connes type systems associated with function fields",Mathematics Subject Classification: 46—Functional analysis
"

Computations in $\mathbf{A}^{1}$-homotopy theory: Contractibility and enumerative geometry",Mathematics Subject Classification: 14—Algebraic geometry
"

Lower Central Series Obstructions To Homotopy Sections of Curves Over Number Fields",Mathematics Subject Classification: 11—Number theory
"

Modulation Spaces and Nonlinear Approximation",Mathematics Subject Classification: 41—Approximations and expansions
"

Constructing a $v_2$ Self Map at $p=3$",Mathematics Subject Classification: 55—Algebraic topology
"

Irregular Sampling with Derivatives",Mathematics Subject Classification: 41—Approximations and expansions
"

Stabilization of Chromatic Functors",Mathematics Subject Classification: 55—Algebraic topology
"

Homological Algebra for the Representation Green Functor for Abelian Groups","Mathematics Subject Classification: 18—Category theory, homological algebra"
"

The Moduli Space of Compact Fiber Bundle Structures on a Fibration",Mathematics Subject Classification: 19—K-theory
"

Plumbers' Knots and Unstable Vassiliev Theory",Mathematics Subject Classification: 55—Algebraic topology
"

",Mathematics Subject Classification: 55—Algebraic topology
"

Positive tuples of flags, piecewise circular wavefronts, and the 3-dimensional Einstein universe",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

The Homotopy Calculus of Categories and Graphs",Mathematics Subject Classification: 55—Algebraic topology
"

Non-existence of A Stable Homotopy Category for p-complete Abelian Groups",Mathematics Subject Classification: 55—Algebraic topology
"

PERIODIC MARGOLIS SELF MAPS AT $P = 2$",Mathematics Subject Classification: 55—Algebraic topology
"

On the Fock-Goncharov Moduli Space for Real Projective Structures on Surfaces: Cell Decomposition, Buildings and Compactification",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Hyperbolic Manifolds and the Cheeger-Chern-Simons Class",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Branched CR Structures on Once-Punctured Torus Bundles",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Convexity and Curvature in Hierarchically Hyperbolic Spaces",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Asymptotic Geometry of the Mapping Class Group and Teichmüller Space",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Divergence of CAT(0) Cube Complexes and Coxeter Groups",Mathematics Subject Classification: 54—General topology
"

Lower bounds for ropelength of links via higher linking numbers and other finite type invariants",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Hamiltonian unknottedness of certain monotone
Lagrangian tori in S2 x S2",Mathematics Subject Classification: 53—Differential geometry
"

On Knot Floer Homology of Satellite (1,1)-Knots",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Bordered Sutured Floer Homology",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Motivic stable stems over finite fields",Mathematics Subject Classification: 19—K-theory
"

Bordered Heegaard Floer homology and graph manifolds",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Growth rate of 3-manifold homologies under branched covers",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Three-manifold mutations detected by Heegaard Floer homology",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

A Heegaard-Floer Invariant of Bordered 3-Manifolds",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Degeneration of the Moduli Space of J-holomorphic Discs and Legendrian Contact Homology",Mathematics Subject Classification: 53—Differential geometry
"

Persistence, Metric Invariants, and Simplification",Mathematics Subject Classification: 51—Geometry
"

Ant Robotics: Search, Exploration and Covering in Multi-a(Ge)Nt Systems",Mathematics Subject Classification: 68—Computer science
"

Complete coverage probability of polyhedra",Mathematics Subject Classification: 51—Geometry
"

NEW CONSTRUCTIONS AND COMPUTATIONS IN RIGID AND FLEXIBLE SYMPLECTIC GEOMETRY AND APPLICATIONS TO SEVERAL COMPLEX VARIABLES",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Hadwiger Integration of Definable Functions",Mathematics Subject Classification: 54—General topology
"

Sheaves, Cosheaves and Applications",Mathematics Subject Classification: 55—Algebraic topology
"

Some Results In Logic And Ergodic Theory",Mathematics Subject Classification: 03—Mathematical logic and foundations
"

Geometric Multimedia Time Series",Mathematics Subject Classification: 68—Computer science
"

Homotopy Theoretic Aspects of Constructive Type Theory",Mathematics Subject Classification: 03—Mathematical logic and foundations
"

Video Inpainting and Scene Analysis",Mathematics Subject Classification: 68—Computer science
"

Symmetry, Invariance and Evolution in Planar Shape Analysis",Mathematics Subject Classification: 53—Differential geometry
"

On the Generation of High Dynamic Range Images: Theory and Practice from a Statistical Perspective",Mathematics Subject Classification: 62—Statistics
"

Mathematical Theory of The Flutter-Shutter",Mathematics Subject Classification: 68—Computer science
"

Méthodes géométriques pour l'analyse d'images et de textures",Mathematics Subject Classification: 68—Computer science
"

Modèles de cycles normaux pour l'analyse des déformations",Mathematics Subject Classification: 51—Geometry
"

Décomposition et détection de structures géométriques en imagerie",Mathematics Subject Classification: 46—Functional analysis
"

Espaces de Hardy généralisés",Mathematics Subject Classification: 30—Functions of a complex variable
"

Multivariate Residue Calculus and Laurent Polynomials Interpreted in the Toric Context",Mathematics Subject Classification: 14—Algebraic geometry
"

Amoebas and Sums of Exponentials",Mathematics Subject Classification: 32—Several complex variables and analytic spaces
"

Trace in Projective and Toric Geometry",Mathematics Subject Classification: 32—Several complex variables and analytic spaces
"

Iterative Approaches to Convex Feasibility Problems",Mathematics Subject Classification: 47—Operator theory
"

Outils courantiels en théorie de l'intersection et de la division: aspects complexes versus non archimédiens",Mathematics Subject Classification: 32—Several complex variables and analytic spaces
"

Exponential Sums, Bézout Identities and Pseudo-Toric Approach",Mathematics Subject Classification: 32—Several complex variables and analytic spaces
"

Height of cycles in toric varieties",Mathematics Subject Classification: 11—Number theory
"

Analysis of Signals and Images in 2D Turbulence",Mathematics Subject Classification: 76—Fluid mechanics
"

Grothendieck Residues, Weil Formulaes and Effectivity Problems",Mathematics Subject Classification: 32—Several complex variables and analytic spaces
"

Decomposition Algorithms and Optimal Control Respect to Furtivity in Electromagnetism","Mathematics Subject Classification: 78—Optics, electromagnetic theory"
"

Effective Methods and Estimations in the Theory of c-Holomorphic Mappings",Mathematics Subject Classification: 32—Several complex variables and analytic spaces
"

Gammagraphy with Coded Aperture","Mathematics Subject Classification: 44—Integral transforms, operational calculus"
"

Algèbres $A_{p}$ et convoluteurs de $L^{p}$",Mathematics Subject Classification: 46—Functional analysis
"

Etude du Processus de Mumford",Mathematics Subject Classification: 46—Functional analysis
"

Régularité lipschitzienne et solutions de l'équation des ondes sur une
variété riemannienne compacte",Mathematics Subject Classification: 34—Ordinary differential equations
"

Analyse par simulation numérique de la réduction de la traînée et des caractéristiques d’écoulements bidimensionnels par l’ajout de polymères en solution",Mathematics Subject Classification: 76—Fluid mechanics
"

Quantitative equidistribution of Galois orbits of points of small height on the algebraic torus",Mathematics Subject Classification: 11—Number theory
"

Two problems in arithmetic geometry. Explicit Manin-Mumford, and arithmetic Bernštein-Kušnirenko",Mathematics Subject Classification: 11—Number theory
"

Equations de Navier-Stokes dans le demi-espace",Mathematics Subject Classification: 35—Partial differential equations
"

Canonical Transformation of Polynomial Hamiltonians",Mathematics Subject Classification: 34—Ordinary differential equations
"

Ondelettes et bases hiérarchiques",Mathematics Subject Classification: 65—Numerical analysis
"

Contribution à l'étude des écoulements en milieux poreux : résolution des
équations de Navier-Stokes par des méthodes spectrales et multigrilles",Mathematics Subject Classification: 35—Partial differential equations
"

Symmetry Analysis of Equations of Financial Mathematics",Mathematics Subject Classification: 35—Partial differential equations
"

Contribution to iterative algorithms for certain optimization problems and fixed point problems in Banach spaces",Mathematics Subject Classification: 46—Functional analysis
"

Some contributions to the theory of amenability on restricted semigroup algebras",Mathematics Subject Classification: 46—Functional analysis
"

Propriétés analytiques et diophantiennes de certaines séries de Fourier arithmétiques",Mathematics Subject Classification: 11—Number theory
"

Propriétés arithmétiques des coefficients de Taylor des applications miroir",Mathematics Subject Classification: 11—Number theory
"

Approximation methods for solutions of some nonlinear problems in Banach spaces",Mathematics Subject Classification: 46—Functional analysis
"

Aproximación de funciones diferenciables",Mathematics Subject Classification: 46—Functional analysis
"

Contribution à l'étude des équations de Boltzmann, Kac et Keller-Segel à
l'aide d'équations différentielles stochastiques non linéaires",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

nalyse, conception et réalisation d'un environnement pour le pilotage et
la visualisation en ligne de simulations numériques parallèles",Mathematics Subject Classification: 68—Computer science
"

Mixed Finite Element Methods For The Coupled Stokes-Darcy Problem",Mathematics Subject Classification: 65—Numerical analysis
"

Aggregation of time series predictors, optimality in a locally stationary context",Mathematics Subject Classification: 62—Statistics
"

Estructura geométrica de los sistemas con simetría en Mecánica Clásica y Teoría Clásica de Campos",Mathematics Subject Classification: 53—Differential geometry
"

On the ampleness of the pre-quantum bundle in symplectic and contact geometry",Mathematics Subject Classification: 53—Differential geometry
"

Statistical Methods for Monitoring Multiple Data Streams.",Mathematics Subject Classification: 62—Statistics
"

Two Problems in Banach Spaces: Complexifications and Bernstein-Markov Inequalities",Mathematics Subject Classification: 46—Functional analysis
"

Turbulence de Burgers et agrégation de particules lorsque l'état initial est aléatoire",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Processus (multi-)fractionnaires `a paramètres multidimensionnels et régularité holdérienne",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Contribution à l'étude probabiliste et numérique d'équations homogènes
issues de la physique statistique : coagulation-fragmentation.",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Cox-Type Regression and Transformation Models with Change-Points Based on Covariate Thresholds",Mathematics Subject Classification: 62—Statistics
"

Quelques contributions à la théorie des processus de Lévy, et des applications en turbulence et en économétrie",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Orthogonally additive polynomials and applications",Mathematics Subject Classification: 46—Functional analysis
