thesis,subject
"

The Canadian Monetary Sector: An Econometric Analysis","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Cooperative Non-Sidepayment Games: Extensions of Sidepayment Game Solutions, Metrics, and Representative Functions","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Non-Additive Probability Measures and Their Applications in Expected Utility Theory","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Wage-Price Issue: A Theoretical Analysis","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays on Bounded Rationality of Preferences in Economic Decisions","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Theoretical Industrial Organization","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Information Processing in Electoral Competition","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Issues of Robustness in Economics of Information","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

On the Risk Premium in the Forward Exchange Rate and Efficiency Gain from Additional Instruments","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Factors Influencing the Demand for Corporate Stock","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Behavior of Output per Man during Recessions : A Study of Underemployment","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Value, Depreciation and Replacement of Durable Capital Goods","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Impact of Management Resistance on the Outcome of Hostile Tender Offers","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Essays in Applied Microeconomic Theory","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

An Analysis of the Market for Futures Commission Merchant Services","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Currency option pricing with stochastic interest rates and transaction costs : a theoretical model with some empirical results","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Studies in Valuation of Derivative Instruments","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Economic Rationality and Neural Networks","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
