thesis,subject
"

Unique continuation principles in dispersive equations",Mathematics Subject Classification: 35—Partial differential equations
"

Semantic Mapping Using Mobile Robots",Mathematics Subject Classification: 68—Computer science
"

Some properties of free periodic groups of odd exponent",Mathematics Subject Classification: 20—Group theory and generalizations
"

Bayesian Deep Learning for Integrated Intelligence: Bridging the Gap between Perception and Inference",Mathematics Subject Classification: 68—Computer science
"

Graph complexes and the moduli space of Riemann surfaces",Mathematics Subject Classification: 55—Algebraic topology
"

Defining relations for subgroups of automorphism groups of free groups",Mathematics Subject Classification: 20—Group theory and generalizations
"

The word problem for certain classes of groups and semigroups",Mathematics Subject Classification: 20—Group theory and generalizations
"

Virasoro constraints in matrix models",Mathematics Subject Classification: 81—Quantum Theory
"

Hochschild (co)homology of Two Families of Complete Intersections",Mathematics Subject Classification: 13—Commutative rings and algebras
"

Problems recognizing the solvability of equations in nilpotent groups",Mathematics Subject Classification: 20—Group theory and generalizations
"

Homotopy algorithms for solving structured determinantal systems",Mathematics Subject Classification: 68—Computer science
"

The complex of looped diagrams and natural operations on Hochschild homology",Mathematics Subject Classification: 55—Algebraic topology
"

Hopf Invariants in Real and Rational Homotopy Theory",Mathematics Subject Classification: 55—Algebraic topology
"

Formality and rational homotopy theory of relative homotopy automorphisms",Mathematics Subject Classification: 55—Algebraic topology
"

Integral Closure and Related Operations on Monomial Ideals",Mathematics Subject Classification: 13—Commutative rings and algebras
"

Chordal and Complete Structures in Combinatorics and Commutative Algebra",Mathematics Subject Classification: 13—Commutative rings and algebras
"

Connectivity and embeddability of buildings and manifolds",Mathematics Subject Classification: 05—Combinatorics
"

Characterization and optimization of the accuracy of mobile robot localization",Mathematics Subject Classification: 93—Systems theory; control
"

Problema de Cauchy para dos generalizaciones de la ecuacion Kadomtsev-Petviashvili (KPII)",Mathematics Subject Classification: 35—Partial differential equations
"

Impartial games and recursive functions",Mathematics Subject Classification: 05—Combinatorics
"

Long Term Dynamics of Stochastic Evolution Equations",Mathematics Subject Classification: 34—Ordinary differential equations
"

The Development and Application of Correlated Random Walk Theory to the Construction of Share Trading Strategies",Mathematics Subject Classification: 62—Statistics
"

Code Generation for Large Scale Applications",Mathematics Subject Classification: 68—Computer science
"

",Mathematics Subject Classification: 81—Quantum Theory
"

Modelling Two-Person Interactions Within and Between Cultural Groups","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Solving Inverse Hodgkin-Huxley Problems","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Preconditioners for Inhomogenous Anisotropic Problems with Spherical Operators in Ocean Modelling",Mathematics Subject Classification: 65—Numerical analysis
"

Transformation Techniques for Decision Diagrams in Computer-Aided Design",Mathematics Subject Classification: 68—Computer science
"

A Critique of the Logic of Relations as a Relativistic Direction in Logic",Mathematics Subject Classification: 03—Mathematical logic and foundations
"

New Developments in Causal Inference Using Balance Optimization Subset Selection","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Algorithmic Properties of Modal Logics of Information Systems",Mathematics Subject Classification: 03—Mathematical logic and foundations
"

Database Models and Retrieval Languages",Mathematics Subject Classification: 68—Computer science
"

Parallel Sparse Matrix Computations",Mathematics Subject Classification: 65—Numerical analysis
"

On the Diaconis-Shahshahani Method in Random Matrix Theory",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

States and the Numerical Range in the Regular Algebra",Mathematics Subject Classification: 46—Functional analysis
"

Inleiding tot de nieuwere theorieën der integraalrekening",Mathematics Subject Classification: 28—Measure and integration
"

Modern Intuitionistic Topology",Mathematics Subject Classification: 03—Mathematical logic and foundations
"

Investigations in Intuitionistic Hierarchy Theory",Mathematics Subject Classification: 03—Mathematical logic and foundations
"

The Piterbarg framework for option pricing","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Abstract Riemann Integration",Mathematics Subject Classification: 28—Measure and integration
"

Preconditioning Optimal Flow Control Problems Using Multilevel Sequentially Semiseparable Matrix Computations",Mathematics Subject Classification: 65—Numerical analysis
"

Kernel Operators",Mathematics Subject Classification: 46—Functional analysis
"

Berechnung von Gisclardträgern",Mathematics Subject Classification: 70—Mechanics of particles and systems
"

Optimal Multinomial Selection Procedures",Mathematics Subject Classification: 62—Statistics
"

Topological Modal Logics with the Difference Modality",Mathematics Subject Classification: 03—Mathematical logic and foundations
"

On Certain Classes of Multi-Dimensional Modal Logics",Mathematics Subject Classification: 03—Mathematical logic and foundations
"

On the Modeling, Design, and Implementation of Firewall Technology",Mathematics Subject Classification: 68—Computer science
"

Lineêre Integraaloperatore in Banach-funksieruimtes (Linear integral operators in Banach function spaces)",Mathematics Subject Classification: 47—Operator theory
"

Carlemanoperatore in Rieszruimtes (Carleman operators in Riesz spaces)",Mathematics Subject Classification: 47—Operator theory
