thesis,subject
"

The Use of Efficient Broadcast Protocols in Asynchronous Distributed Systems",Mathematics Subject Classification: 68—Computer science
"

O comportamento da selecção de Espanha no torneio de andebol nos Jogos Olímpicos de Pequim 2008 - Análise sequencial no método organizado de jogo de andebol em situação 6x6",Mathematics Subject Classification: 00—General
"

Vecteurs cycliques, opérateurs de Toeplitz généralisés et régularité des algèbres de Banach",Mathematics Subject Classification: 47—Operator theory
"

Transformation de Aluthge et vecteurs extrémaux",Mathematics Subject Classification: 47—Operator theory
"

Cost-Aware Resource Management for Decentralized Internet Services",Mathematics Subject Classification: 68—Computer science
"

Topological and Geometric Methods for Crowdsourcing Data Analysis",Mathematics Subject Classification: 68—Computer science
"

Optical Diagnostics for Partially Premixed Flames",Mathematics Subject Classification: 76—Fluid mechanics
"

Synthesis and characterization of magnetic carbon nanotubes",Mathematics Subject Classification: 70—Mechanics of particles and systems
"

Grundlegung der elektronenoptischen Theorie eines Massenspektrographen",Mathematics Subject Classification: 81—Quantum Theory
"

Robustness and Generalization in Neural Networks",Mathematics Subject Classification: 62—Statistics
"

Outlier Detection for Crowdsourcing Pairwise Data in Statistic Ranking",Mathematics Subject Classification: 62—Statistics
"

Generalized Split LBI and its application to Alzheimer’s Disease",Mathematics Subject Classification: 62—Statistics
"

Parametric Error Analysis and Coverage Approximations in Reliability Modeling",Mathematics Subject Classification: 68—Computer science
"

Algorithms and Software for Nucleic Acid Sequences",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Compiling with Types",Mathematics Subject Classification: 68—Computer science
"

Policy Enforcement via Program Monitoring",Mathematics Subject Classification: 68—Computer science
"

Towards a class number formula for Drinfeld modules",Mathematics Subject Classification: 14—Algebraic geometry
"

Sampling Schemes for Multidimensional Nonbandlimited Signals",Mathematics Subject Classification: 41—Approximations and expansions
"

Detecting cells and cellular activity from two-photon calcium imaging data",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Structures, ergodicité et applications des A-contractions",Mathematics Subject Classification: 47—Operator theory
"

Flexible Models for Programming the Web",Mathematics Subject Classification: 68—Computer science
"

Effect of Calcium Influx on ...",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Constraint Query Algebras",Mathematics Subject Classification: 68—Computer science
"

Markov Chain Models of Instantaneously Coupled Intracellular Calcium Channels",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Automated Reduction of Calcium Release Site Models",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Max-Stable and Max-Infinitely Divisible Laws on Infinite Dimensional Spaces",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Limit Theory for Functionals on Random Bipartite Sets",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Root-Based Polynomial Compositions over Finite Fields",Mathematics Subject Classification: 11—Number theory
"

Performance and Reliability Evaluation for DSRC Vehicular Safety Communication",Mathematics Subject Classification: 68—Computer science
"

Extensions of the Theory of Sampling Signals with Finite Rate of Innovation, Performance Analysis and an Application to Single Image Super-Resolution",Mathematics Subject Classification: 00—General
"

",Mathematics Subject Classification: 68—Computer science
"

Discrepancy And Isotopy For Manifold Approximaions",Mathematics Subject Classification: 68—Computer science
"

Sampling and Reconstruction of Finite Rate of Innovation Signals with Applications in Neuroscience and Sparse Representation","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Sensing physical fields: Inverse problems for the diffusion equation and beyond","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Adaptive Plenoptic Sampling: Theory and Applications",Mathematics Subject Classification: 42—Fourier analysis
"

Distributed Source Coding of Multi-View Images","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Centralized and Distributed Semi-Parametric Compression of Piecewise Smooth Functions",Mathematics Subject Classification: 41—Approximations and expansions
"

Coherent Multi-Dimensional Segmentation of Multiview Images using a variational framework andapplications to Image Based Rendering",Mathematics Subject Classification: 68—Computer science
"

L. Baboulaz, Feature Extraction for Image Super-resolution using Finite Rate of Innovation Principles, PhD thesis, Department of Electrical and Electronic Engineering, Imperial College London, 2008.",Mathematics Subject Classification: 68—Computer science
"

Wavelet Footprints and Frames for Signal Processing and Communications",Mathematics Subject Classification: 41—Approximations and expansions
"

Equational Theories and Database Constraints",Mathematics Subject Classification: 68—Computer science
"

Phase Transitions in a Ginzburg-Landau Model and a Kagome Antiferromagnet","Mathematics Subject Classification: 82—Statistical mechanics, structure of matter"
"

Generalized p-adic Gauss Sums",Mathematics Subject Classification: 11—Number theory
"

Imagesetter output resolution in newspaper color image reproduction",Mathematics Subject Classification: 68—Computer science
"

Exploiting Cost-Performance Trade-offs for Modern Cloud Systems",Mathematics Subject Classification: 68—Computer science
"

Exploiting System Diversity in Peer-to-peer Publish-Subscribe Systems",Mathematics Subject Classification: 68—Computer science
"

Alternative History: Multi-Log Systems in Theory and Practice",Mathematics Subject Classification: 68—Computer science
"

Lanczos und Krylov-Verfahren für nicht-Hermitesche lineare Systeme",Mathematics Subject Classification: 65—Numerical analysis
"

Résolution de deux types d'équations opératorielles et interactions",Mathematics Subject Classification: 47—Operator theory
"

Multivariate micro-level loss reserving: a Cox process approach",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Multivariate stochastic loss reserving with common shock approaches",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Whither the whale shark wanders: tools and methods for modelling whale shark movement",Mathematics Subject Classification: 62—Statistics
"

A Compositional Automation Engine for Verifying Complex System Software",Mathematics Subject Classification: 68—Computer science
"

Numerische Verfahren für fast adiabatische Quantendynamik",Mathematics Subject Classification: 81—Quantum Theory
"

Geometry of Cone-Beam Reconstruction",Mathematics Subject Classification: 68—Computer science
"

Towards a Programmable Dataplane",Mathematics Subject Classification: 68—Computer science
"

A Virtualization Architecture for Wireless Network Cards",Mathematics Subject Classification: 68—Computer science
"

Reliable Communication for Datacenters",Mathematics Subject Classification: 68—Computer science
"

Data Center Energy Management",Mathematics Subject Classification: 68—Computer science
"

Studies of Interstellar Molecules and Grains",Mathematics Subject Classification: 85—Astronomy and astrophysics
"

Parallax Photography: Creating 3D Motions from Stills.",Mathematics Subject Classification: 68—Computer science
"

Image-Based Remodeling: A Framework for Creating, Visualizing, and Editing
Image-Based Models",Mathematics Subject Classification: 68—Computer science
"

Convex hulls in hyperbolic 3-space and generalized orthospectral identities",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Asymptotical properties of skew-evolution semiflows in Banach spaces",Mathematics Subject Classification: 34—Ordinary differential equations
"

On Stratifying Spaces of Matrix Pairs",Mathematics Subject Classification: 57—Manifolds and cell complexes
"

Clustering with neighborhood graphs",Mathematics Subject Classification: 68—Computer science
"

Eigenexpansions and ultradifferentiability",Mathematics Subject Classification: 46—Functional analysis
"

Some classes of integral transforms on distribution spaces and generalized asymptotics",Mathematics Subject Classification: 46—Functional analysis
"

Nonstandard contributions to the theory of generalized functions",Mathematics Subject Classification: 46—Functional analysis
"

A Mathematical Model of Cancer Stem Cell Lineage Population Dynamics with Mutation Accumulation and Telomer Length Hierarchies",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Clifford Analysis on the Unit Sphere",Mathematics Subject Classification: 30—Functions of a complex variable
"

Domain-Filling Circle Packings",Mathematics Subject Classification: 30—Functions of a complex variable
"

Über die Konvergenz von Kollokationsverfahren zur näherungsweisen Lösung singularer Integralgleichungen",Mathematics Subject Classification: 45—Integral equations
"

Brain-Computer Interfaces for Cognitive Neuroscience and Advanced Mental State Assessment",Mathematics Subject Classification: 68—Computer science
"

Some Results on Finitely Additive Measures and Infinitary Combinatorics",Mathematics Subject Classification: 03—Mathematical logic and foundations
"

Perturbations de contractions",Mathematics Subject Classification: 47—Operator theory
"

Noyau Reproduisant, Capacité et Sous-espaces invariants des espaces de Dirichlet",Mathematics Subject Classification: 46—Functional analysis
"

Asymptotical behaviors of linear stochastic systems in Hilbert spaces",Mathematics Subject Classification: 93—Systems theory; control
"

Stability and dichotomy in square mean of stochastic cocycles",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Discrete Scale-Space Theory and the Scale-Space Primal Sketch",Mathematics Subject Classification: 68—Computer science
"

Asymptotic behaviors for skew-evolution semiflows in Banach spaces",Mathematics Subject Classification: 34—Ordinary differential equations
"

On integral equation methods for electromagnetic scattering by biperiodic structures",Mathematics Subject Classification: 45—Integral equations
"

G-zips and Ekedahl-Oort strata for Hodge type Shimura varieties",Mathematics Subject Classification: 14—Algebraic geometry
"

Moving Boundaries in Reaction-Diffusion Systems with Absorption",Mathematics Subject Classification: 35—Partial differential equations
"

Finite Elemente in Vektorverbänden von Operatoren",Mathematics Subject Classification: 46—Functional analysis
"

Conditional Coloring",Mathematics Subject Classification: 05—Combinatorics
"

Efficient and Adaptively Secure Cryptographic Primitives — Designing for Composability",Mathematics Subject Classification: 68—Computer science
"

Contributions to the cohomological study of rational points on algebraic
varieties",Mathematics Subject Classification: 14—Algebraic geometry
"

On the Delay Time for Distributed Networks","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

The DEMOS family of e-voting systems: end-to-end verifiable elections in the standard model",Mathematics Subject Classification: 68—Computer science
"

Skin Friction Sensor Design Methodology and Validation for High-Speed,
High-Enthalpy Flow Applications",Mathematics Subject Classification: 76—Fluid mechanics
"

Novel uses of the Mallows model in coloring and matching",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Temperature effects in semiconductor equations",Mathematics Subject Classification: 35—Partial differential equations
"

Hodge numbers of irregular varieties and fibrations",Mathematics Subject Classification: 14—Algebraic geometry
"

Some contributions to backward stochastic differential equations and applications",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Infinite-Horizon Optimal Control Problems for Markov Diffusion Processes",Mathematics Subject Classification: 93—Systems theory; control
