thesis,subject
"

Stability of Tautological Bundles on Hilbert Schemes of Points on a Surface",Mathematics Subject Classification: 14—Algebraic geometry
"

Real algebraic curves in real del Pezzo surfaces",Mathematics Subject Classification: 14—Algebraic geometry
"

Geometrie  Tropicale  et  Systemes Polynomiaux",Mathematics Subject Classification: 14—Algebraic geometry
"

The Kodaira-Dimension of Siegel Modular Varieties of Genus 3 or Higher",Mathematics Subject Classification: 14—Algebraic geometry
"

Geometry of moduli spaces of spin and prym curves of small genus",Mathematics Subject Classification: 14—Algebraic geometry
"

Moduli of Spin Curves",Mathematics Subject Classification: 14—Algebraic geometry
"

Lines on K3 quartic surfaces",Mathematics Subject Classification: 14—Algebraic geometry
"

Picard numbers of abelian varieties and related arithmetic",Mathematics Subject Classification: 14—Algebraic geometry
"

Existence and uniqueness of special automorphisms on K3 surfaces",Mathematics Subject Classification: 14—Algebraic geometry
"

A Methodology for Model-Driven Process Security",Mathematics Subject Classification: 68—Computer science
"

Energy-Efficient and Performance-Aware Virtual Machine Management for Cloud
Data Centers",Mathematics Subject Classification: 68—Computer science
"

Hecke Eigenforms and the Arithmetic of Singular K3 Surfaces",Mathematics Subject Classification: 14—Algebraic geometry
"

Context-Aware Semantic Analysis of Video Metadata",Mathematics Subject Classification: 68—Computer science
"

The V2X Simulation of Vehicular Communication Scenarios",Mathematics Subject Classification: 68—Computer science
"

Automorphisms of Irreducible Symplectic Manifolds",Mathematics Subject Classification: 14—Algebraic geometry
"

Hybrid semantic search - a combination of fact and document retrieval",Mathematics Subject Classification: 68—Computer science
"

A logic-based Framework to enable Attribute Assurance for Digital
Identities in Service-oriented Architectures and the Web",Mathematics Subject Classification: 68—Computer science
"

Der Smart-Data-Server [Elektronische Ressource] : neue Konzepte und praktische Anwendung einer Middleware-Architektur",Mathematics Subject Classification: 68—Computer science
"

Linked Data Supported Information Retrieval",Mathematics Subject Classification: 68—Computer science
"

A Finiteness Result for Siegel Modular Threefolds",Mathematics Subject Classification: 14—Algebraic geometry
"

Extraktion von semantischen Informationen aus audiovisuellen
Vorlesungsaufzeichnungen",Mathematics Subject Classification: 68—Computer science
"

Privacy and Security Issues in IPv6 Networks",Mathematics Subject Classification: 68—Computer science
"

Effizientes Entwickeln von Semantic-Web-Software mit Object Triple Mapping",Mathematics Subject Classification: 68—Computer science
"

Zertifikatsmanagement für grosse Organisationen - PKI-Aspekte in der praktischen Anwendung",Mathematics Subject Classification: 68—Computer science
"

Singularities of the Unitary Modular Varieties",Mathematics Subject Classification: 14—Algebraic geometry
"

An E-Librarian Service - Supporting Explorative Learning by a Description
Logics Based Semantic Retrieval Tool",Mathematics Subject Classification: 68—Computer science
"

Methoden und Probleme der Performance-Messung von Aktenportefeuilles","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

On irreducible symplectic manifolds of K3[n]-type",Mathematics Subject Classification: 14—Algebraic geometry
"

Multi-Visualization and Hybrid Segmentation Approaches within Telemedicine
Framework",Mathematics Subject Classification: 68—Computer science
"

Temporary Binding for Dynamic Middleware Construction and Web Services Composition",Mathematics Subject Classification: 68—Computer science
"

Cryptographic Protocols and Algorithms for Distributed Multimedia Systems",Mathematics Subject Classification: 68—Computer science
"

On Security and Privacy of Consensus-based Protocols in Blockchain and Smart Grid",Mathematics Subject Classification: 68—Computer science
"

Improving the Power of OBDDs",Mathematics Subject Classification: 68—Computer science
"

Courbes algébriques réelles et courbes pseudo-holomorphes réelles dans les surfaces réglées",Mathematics Subject Classification: 14—Algebraic geometry
"

Machine Learning on Encrypted Data",Mathematics Subject Classification: 68—Computer science
"

Tropical intersection theory, and real inflection points of real algebraic curves",Mathematics Subject Classification: 14—Algebraic geometry
"

A Biased Urn Model for Taxonomic Identification",Mathematics Subject Classification: 68—Computer science
"

Evaluierung des phylogenetischen Footprintings und dessen Anwendung zur verbesserten Vorhersage von Transkriptionsfaktor-Bindestellen",Mathematics Subject Classification: 68—Computer science
"

Interpretable Binary and Multiclass Prediction Models for Insolvencies and Credit Ratings",Mathematics Subject Classification: 68—Computer science
"

On the Geometry and the Topology of Complex Hypersurface (co)Amoebas",Mathematics Subject Classification: 14—Algebraic geometry
"

Probabilistic Methods for Computational Annotation of Genomic Sequences",Mathematics Subject Classification: 68—Computer science
"

Der Histonkern des Nukleosoms: Untersuchung über Struktur, Wechselwirkungen und Einflüsse von Histonmodifizierungen",Mathematics Subject Classification: 81—Quantum Theory
"

Development of Agent-Based Simulation Models for Software Evolution",Mathematics Subject Classification: 68—Computer science
"

Development of novel Classical and Quantum
Information Theory Based Methods for the Detection of Compensatory Mutations in MSAs",Mathematics Subject Classification: 68—Computer science
"

Prediction of Protein-Protein Interaction Sites with Conditional Random Fields",Mathematics Subject Classification: 68—Computer science
"

X-tracking the Usage Interest on Web Sites",Mathematics Subject Classification: 68—Computer science
"

Test case generation and test case specification with Message Sequence Chart",Mathematics Subject Classification: 62—Statistics
"

Probabilistic Models to Detect Important Sites in Proteins",Mathematics Subject Classification: 68—Computer science
"

High-Level Methods for OBDD-Based Sequential Verification",Mathematics Subject Classification: 68—Computer science
"

Assessing and improving interoperability of distributed systems",Mathematics Subject Classification: 68—Computer science
"

Classiﬁers for Discrimination of Signiﬁcant Protein Residues and Protein-Protein Interaction Using Concepts of Information Theory and Machine Learning",Mathematics Subject Classification: 68—Computer science
"

Measurement and QCD analysis of the proton structure function F2 from the 1994 HERA data using the ZEUS detector",Mathematics Subject Classification: 65—Numerical analysis
"

Uniting the Social Web and Topic Maps with Tele-Teaching to Provide
User-Friendly Interaction Possibilities with E-Lectures",Mathematics Subject Classification: 68—Computer science
"

Towards High Quality Security Event Correlation Using In-Memory and
Multi-Core Processing",Mathematics Subject Classification: 68—Computer science
"

A new algorithm for the quantified satisfiability problem, based on
zero-suppressed binary decision diagrams and memoizationinen",Mathematics Subject Classification: 68—Computer science
"

Scalability and Performance Management of Internet Applications in the Cloud",Mathematics Subject Classification: 68—Computer science
"

Optimal Control for Neutral and Singular Systems",Mathematics Subject Classification: 49—Calculus of variations and optimal control
"

Model-driven Security in Service-oriented Architectures - Leveraging
Security Patterns to Transform High-level Security Requirements to Technical Policies",Mathematics Subject Classification: 68—Computer science
"

Understanding and Leveraging the Social Web for Information Retrieval",Mathematics Subject Classification: 68—Computer science
"

Die Sozialphysik der Blogosphäre verstehen und nutzbar machen",Mathematics Subject Classification: 68—Computer science
"

Augmented Secure Neighbor Discovery: Aligning Security, Privacy, and Usability",Mathematics Subject Classification: 68—Computer science
