thesis,subject
"

Multivalued semi-Fredholm Linear Operators in Normed Linear Spaces",Mathematics Subject Classification: 47—Operator theory
"

Efficiency and Robustness Considerations with Count and Recurrent Event Data",Mathematics Subject Classification: 62—Statistics
"

Temperature Anisotropies",Mathematics Subject Classification: 83—Relativity and gravitational theory
"

Essays on Technology, Fiscal Policy, and the Business Cycle","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Maillages auto-adaptatifs et approximation des systèmes hyperboliques séparables: application aux équations d'Euler tridimentionnelles",Mathematics Subject Classification: 65—Numerical analysis
"

A Case-Study Analysis of the Critical Features Within Field Experiences That Effect the Reflective Development of Preservice Secondary Mathematics Teachers",Mathematics Subject Classification: 97—Mathematics education
"

",Mathematics Subject Classification: 62—Statistics
"

Approximations paraxiales pour l'inversion acoustique",Mathematics Subject Classification: 65—Numerical analysis
"

Neutral Priors For Bayesian Inference",Mathematics Subject Classification: 62—Statistics
"

Modélisation stochastique de processus d'agrégation en chimie",Mathematics Subject Classification: 62—Statistics
"

Third Order Likelihood Inference In Graphical Model And Mixed Model",Mathematics Subject Classification: 62—Statistics
"

Lattice Conditional Independence Models: Testing Independent Decomposition of LRT Statistic and Hyper Markov Properties",Mathematics Subject Classification: 62—Statistics
"

",Mathematics Subject Classification: 62—Statistics
"

Analyse microéconométrique des transitions sur le marché du travail","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Participation des femmes en couple au marché du travail : une comparaison européenne","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Optimisation combinatoire pour la sélection de variables en régression en grande dimension : Application en génétique animale",Mathematics Subject Classification: 68—Computer science
"

Résolution numérique et identification pour une équation quasi-parabolique non-linéaire dégénérée de diffusion et transport en dimension 1",Mathematics Subject Classification: 65—Numerical analysis
"

Intégration numérique et éléments finis d'ordre élevé appliqués aux
équations de Maxwell en régime harmonique",Mathematics Subject Classification: 65—Numerical analysis
"

","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

",Mathematics Subject Classification: 62—Statistics
"

","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Statistics in non Euclidean Spaces. Some Contributions",Mathematics Subject Classification: 62—Statistics
"

Les aspects spatiaux dans la modélisation en épidémiologie",Mathematics Subject Classification: 00—General
"

Contribution à la statistique en grande dimension et son application au traitement de données biomédicales",Mathematics Subject Classification: 62—Statistics
"

Rangements d'objets multiboîtes : modèles et algorithmes","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Landscape Analysis in Multi-Objective Combinatorial Optimization",Mathematics Subject Classification: 68—Computer science
"

Modèles à Facteurs Conditionnellement Hétéroscédastiques et à Structure Markovienne Cachée pour les Séries Financières",Mathematics Subject Classification: 62—Statistics
