thesis,subject
"

Some results on Turbulent models",Mathematics Subject Classification: 76—Fluid mechanics
"

",Mathematics Subject Classification: 35—Partial differential equations
"

Sustainability, weather risks and RANS equations",Mathematics Subject Classification: 35—Partial differential equations
"

Metodi di proiezioni, di stabilizzazione e di decomposizione di dominio in
fluidodinamica incomprimibile laminare e turbolenta",Mathematics Subject Classification: 65—Numerical analysis
"

Semigroups of operators and evolution equations",Mathematics Subject Classification: 35—Partial differential equations
"

Unilateral problems in mathematical physics",Mathematics Subject Classification: 35—Partial differential equations
"

Analytic Inequalities",Mathematics Subject Classification: 26—Real functions
"

Domain decomposition algorithms for transport and wave propagation equations",Mathematics Subject Classification: 65—Numerical analysis
"

L’equazione di Eulero dei fluidi, in domini con frontiera variabile",Mathematics Subject Classification: 35—Partial differential equations
"

Analytical and numerical results for $\kappa$-$\epsilon$ and Large Eddy
Simulation turbolence models",Mathematics Subject Classification: 35—Partial differential equations
"

Convexity results obtained via the optimal mass transport theory",Mathematics Subject Classification: 26—Real functions
"

Some topics in fluid mechanics",Mathematics Subject Classification: 35—Partial differential equations
"

Regularity of optimal transport maps and applications",Mathematics Subject Classification: 35—Partial differential equations
"

Geometric Structure of Micromagnetic Walls and Shock Waves in Scalar Conservation Laws",Mathematics Subject Classification: 35—Partial differential equations
"

Qualitative And Quantitative Properties of Entropic Solutions To Hyperbolic Scalar Conservation Laws",Mathematics Subject Classification: 35—Partial differential equations
"

Chaos, Fractals and Applications",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
"

Local analysis of rectifiable and non-rectifiable calibrated cycles of dimension 2",Mathematics Subject Classification: 35—Partial differential equations
"

Application of Operator Theory in the Study of Evolution Problems",Mathematics Subject Classification: 35—Partial differential equations
"

Applications of Operator Theory to Nonlinear Analysis",Mathematics Subject Classification: 49—Calculus of variations and optimal control
"

Qualitative methods in nonlinear analysis",Mathematics Subject Classification: 35—Partial differential equations
"

Banach Function Spaces that Appear in the Study of Asymptotic Behavior of Solutions of Certain Classes of Differential Equations",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
"

Hermite-Hadamard type results for generalized convex functions",Mathematics Subject Classification: 26—Real functions
"

New algorithms and relations involving integer partitions",Mathematics Subject Classification: 05—Combinatorics
"

Applications of Convex Functions Theory",Mathematics Subject Classification: 26—Real functions
"

",Mathematics Subject Classification: 93—Systems theory; control
"

Asymptotic Behavior of Certain Evolution Problems in Plane and 3-Dimensional Space. A Numerical Approach",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
