thesis,subject
"

Semantic-Analysis of English Text by Computer",Mathematics Subject Classification: 68—Computer science
"

Topics in Combinatorial Algorithms",Mathematics Subject Classification: 68—Computer science
"

Iterative Polyenergetic Digital Tomosynthesis Reconstructions for Breast Cancer Screening",Mathematics Subject Classification: 65—Numerical analysis
"

Robust Congestion Control for IP Multicast",Mathematics Subject Classification: 68—Computer science
"

Designing a Statically Typed Actor-based Concurrent Object-Oriented Programming Language",Mathematics Subject Classification: 68—Computer science
"

Analysis of Scheduling Algorithms for a Model of a Multiprocessor Computer System",Mathematics Subject Classification: 68—Computer science
"

Large-Scale Inverse Problems in Imaging: Two Case Studies",Mathematics Subject Classification: 65—Numerical analysis
"

A Particle-Based Model for Simulating the Draping Behavior of Woven Cloth",Mathematics Subject Classification: 74—Mechanics of deformable solids
"

New Models and Architectures for Flash Storage Systems",Mathematics Subject Classification: 68—Computer science
"

Networking Mechanisms for Delay-Sensitive Applications",Mathematics Subject Classification: 68—Computer science
"

Pattern Recognition in Biological and Mechanical Systems (undefended)",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Model-Based Gesture Recognition",Mathematics Subject Classification: 68—Computer science
"

High-Performance Transactional Storage",Mathematics Subject Classification: 68—Computer science
"

Matrix Computations and Optimization for Spectral Computed Tomography",Mathematics Subject Classification: 65—Numerical analysis
"

Modeling inhibition-mediated neural dynamics in the rodent spatial
navigation system",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Random Perturbations of SRB Measures and Numerical Studies of Chaotic Dynamics",Mathematics Subject Classification: 65—Numerical analysis
"

Natural Language Production as a Process of Decision-Making under Constraint",Mathematics Subject Classification: 68—Computer science
"

Theoretical Foundamentation and Applicability of the Systems Approach to the Implementation of Decision-Making Support Systems in Organizations Problem.",Mathematics Subject Classification: 93—Systems theory; control
"

Efficient Solvers for Nonlinear Problems in Imaging",Mathematics Subject Classification: 65—Numerical analysis
"

Truncated Singular Value Decomposition Approximation for Structured Matrices via Kronecker Product Summation Decomposition",Mathematics Subject Classification: 65—Numerical analysis
"

Mathematical Models and Numerical Methods for Wavefront Reconstruction",Mathematics Subject Classification: 65—Numerical analysis
"

Inverse Problems in Hyperspectral Imaging",Mathematics Subject Classification: 65—Numerical analysis
"

Modeling Speech Using a Partially Observable Markov Decision Process",Mathematics Subject Classification: 68—Computer science
"

The Stapl Parallel Container Framework",Mathematics Subject Classification: 68—Computer science
"

Graded artin algebras, coverings and factor rings",Mathematics Subject Classification: 16—Associative rings and algebras
"

An Adaptive Framework for ‘Single Shot’ Motion Planning",Mathematics Subject Classification: 68—Computer science
"

Monte Carlo Methods for Stochastic Differential Equations and their Applications",Mathematics Subject Classification: 65—Numerical analysis
"

A Generalized Interactive Dynamic Simulation for Multi-Rigid-Body Systems",Mathematics Subject Classification: 68—Computer science
"

Roadmap-Based Techniques for Modeling Group Behaviors in Multi-Agent Systems",Mathematics Subject Classification: 68—Computer science
"

Atmospheric Density Currents: Impacts on Aviation over NSW and ACT",Mathematics Subject Classification: 86—Geophysics
"

Aspects of Time-Varying Risk and Return in Bond Markets","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Use of Machine Learning Algorithms and Statistical Models to Classify Aphasia Severity",Mathematics Subject Classification: 62—Statistics
"

Volume Lease:  A Scalable Cache Consistency Framework",Mathematics Subject Classification: 68—Computer science
"

Physics for Robots: Representing Everyday Physics for Robot Planning",Mathematics Subject Classification: 68—Computer science
"

Knowledge Representation and Open World Planning Using Psi-Forms",Mathematics Subject Classification: 68—Computer science
"

Representation theory of the diagram $A_n$ over the ring $k[[x]]$","Mathematics Subject Classification: 18—Category theory, homological algebra"
"

Nonwriting Extendsions of Finite Automata",Mathematics Subject Classification: 68—Computer science
"

Models for Clustered and Discrete Outcomes in Developmental Toxicology",Mathematics Subject Classification: 62—Statistics
"

Kronecker Products in Image Restoration",Mathematics Subject Classification: 65—Numerical analysis
"

Regularization of Quasi-Newton Methods Applied to Image Restoration",Mathematics Subject Classification: 65—Numerical analysis
"

Statistical Methods for Developmental Toxicology",Mathematics Subject Classification: 62—Statistics
"

Practical Image Deblurring with Synthetic Boundary Conditions, with GPUs, and with Multiple Frames",Mathematics Subject Classification: 65—Numerical analysis
"

Symbolic Powers in Algebra and Geometry",Mathematics Subject Classification: 13—Commutative rings and algebras
"

Clustered Data Methods with Applications to Community-Based Research",Mathematics Subject Classification: 62—Statistics
"

Numerical Approaches for Large-Scale Ill-Posed Inverse Problems",Mathematics Subject Classification: 65—Numerical analysis
"

Ideals of powers of linear forms",Mathematics Subject Classification: 13—Commutative rings and algebras
"

High Dimensional Data Analysis with Applications to Diabetes Prevention and Physical Activity Data",Mathematics Subject Classification: 62—Statistics
"

Infinite Groebner Bases and Noncommutative Polly Cracker Cryptosystems",Mathematics Subject Classification: 16—Associative rings and algebras
"

Betti Numbers of Koszul Algebras and Codimension Two Matrix Factorizations",Mathematics Subject Classification: 13—Commutative rings and algebras
"

Bounds on Codes from Smooth Toric Threefolds with Rank Pic(X)=2","Mathematics Subject Classification: 94—Information and communication, circuits"
"

The Algebraic Structure of BRST Operators and Their Applications",Mathematics Subject Classification: 83—Relativity and gravitational theory
"

Finite Generation of Ext-Algebras for Monomial Algebras","Mathematics Subject Classification: 18—Category theory, homological algebra"
"

Ideals of Linear Type and c-Sequences",Mathematics Subject Classification: 13—Commutative rings and algebras
"

Local Rings and Golod Homomorphisms",Mathematics Subject Classification: 13—Commutative rings and algebras
"

Theory and Applications of Stochastic Sequential Machines",Mathematics Subject Classification: 68—Computer science
"

Boundary Value and Wiener-Hopf Problems for Abstract Kinetic Equations",Mathematics Subject Classification: 47—Operator theory
"

Analysis of the Logical Design in Relational Databases",Mathematics Subject Classification: 68—Computer science
"

A Non-First-Normal-Form Relational Database Model",Mathematics Subject Classification: 68—Computer science
"

Theory of Unnormalized Relational Structures",Mathematics Subject Classification: 68—Computer science
"

Program Structure and Computational Complexity",Mathematics Subject Classification: 68—Computer science
"

A Unifying Framework for Disjunctive Data Constraints with Applications to Reasoning under Uncertainty",Mathematics Subject Classification: 68—Computer science
"

Analysis and Robust Preconditioning for Numerical Implementations of Richards' Equation in Groundwater Flow",Mathematics Subject Classification: 65—Numerical analysis
"

The Leibniz formula for divided difference operators associated to
Kac-Moody root systems",Mathematics Subject Classification: 16—Associative rings and algebras
"

Adaptive Aggregation and Signal Processing on Graphs",Mathematics Subject Classification: 65—Numerical analysis
"

Mumford-Unestable CP2 Foliations and Their Uniparametric Subgroups",Mathematics Subject Classification: 14—Algebraic geometry
"

Triple Intersection Formulas for Isotropic Grassmannians",Mathematics Subject Classification: 14—Algebraic geometry
"

Numerical Solutions of Indefinite Problems and Aquatic Invasive Species Modeling",Mathematics Subject Classification: 65—Numerical analysis
"

",Mathematics Subject Classification: 70—Mechanics of particles and systems
"

A General Arithmetic Riemann-Roch Theorem",Mathematics Subject Classification: 14—Algebraic geometry
"

Combinatorics of Degeneracy Loci",Mathematics Subject Classification: 14—Algebraic geometry
"

Cominuscule flag varieties and their quantum $K$-theory: Some results",Mathematics Subject Classification: 14—Algebraic geometry
"

Equivariant Giambelli Formulae for Grassmannians",Mathematics Subject Classification: 14—Algebraic geometry
"

Enumerative Geometry of Real Grassmannian Varieties",Mathematics Subject Classification: 14—Algebraic geometry
"

Phylogenetic Toric Varieties On Graphs",Mathematics Subject Classification: 14—Algebraic geometry
"

The structure of cosmic string wakes",Mathematics Subject Classification: 81—Quantum Theory
"

Combinatorics of K-Theoretic Jeu de Taquin",Mathematics Subject Classification: 05—Combinatorics
"

An Investigation of Wave-Kinetic Theory:
Hierarchy Equations, Phase Measure, and Resonance Singularity",Mathematics Subject Classification: 76—Fluid mechanics
