thesis,subject
"

Modeling Longitudinal Data By State Space Methods",Mathematics Subject Classification: 62—Statistics
"

Monitoring and pollution control: A stochastic process approach to model oil spills","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Polynomial tuples of commuting isometries constrained by 1-dimensional varieties",Mathematics Subject Classification: 47—Operator theory
"

Sum-Capacity, Scheduling, and Multi-User Diversity in MIMO Broadcast Systems","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Cross-Layer Design of Wireless Systems","Mathematics Subject Classification: 94—Information and communication, circuits"
"

","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Querying Semistructured Data based on Schema Matching",Mathematics Subject Classification: 68—Computer science
"

Capacity and Cross-Layer Design of Wireless Ad Hoc Networks","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Disease control and the optimal allocation of resources","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Water resources planning under climate change and variability","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Cooperation and Optimal Cross-Layer Resource Allocation in Wireless Networks","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Cross-Layer Design of Control Systems Closed over Wireless Networks","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Représentation euclidienne d'un graphe abstrait en vue de sa segmentation",Mathematics Subject Classification: 68—Computer science
"

Self-Adaptive Data Quality - Automating Duplicate Detection",Mathematics Subject Classification: 68—Computer science
"

Translating Relational Queries into Iterative Programs",Mathematics Subject Classification: 68—Computer science
"

Eine Methodik für einheitliche, natürlichsprachlich orientierte
Benutzerschnittstellen bei existierenden Datenbanksystemen","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Social Responsibility in Supply Networks","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

","Mathematics Subject Classification: 94—Information and communication, circuits"
"

","Mathematics Subject Classification: 94—Information and communication, circuits"
"

","Mathematics Subject Classification: 94—Information and communication, circuits"
"

A Model for Fast Web Mining Prototyping: Design, Algebra, Implementation, and Use Cases",Mathematics Subject Classification: 68—Computer science
"

An incrementally trainable statistical approach to information extraction based on token classification and rich context models",Mathematics Subject Classification: 62—Statistics
"

Optimistische Replikation in mobilen ad-hoc Netzen",Mathematics Subject Classification: 68—Computer science
"

The Power of Semi-Joins in Distributed Database Query Processing",Mathematics Subject Classification: 68—Computer science
"

A-MEDIAS: Concept and Design of an Adaptive Integrating Event Notification Service",Mathematics Subject Classification: 68—Computer science
"

A Middleware Architecture for Transactional, Object-Oriented Applications",Mathematics Subject Classification: 68—Computer science
"

MIMO Wireless Communications with Limited Feedback","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Dynamic Resource Allocation in Wireless Fading Channels with Delay Requirements","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Normalization and Functional Dependencies in the Relational Data Base Model",Mathematics Subject Classification: 68—Computer science
"

Model of Flexible Workforce Management in Uncertain Environments","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

RADD/raddstar - A Rule-based Database Schema Compiler, Evaluator, and Optimizer",Mathematics Subject Classification: 68—Computer science
"

Optimal Production and Inventory Policies in Capacitated Supply Chains under Various Ownership Structures","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Time Decomposition of Multi-Period Supply Chain Models","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

The Effect of Trade Credit on Operational Policies and on the Relationship between Banks, Suppliers, and Manufacturers","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

Algorithmic Support for Automated Planning Boards","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

",Mathematics Subject Classification: 47—Operator theory
"

Latent Group Dynamics : Evolution of Emergent Roles in Social Networks",Mathematics Subject Classification: 60—Probability theory and stochastic processes
