thesis,subject
"

Peephole Superoptimization",Mathematics Subject Classification: 68—Computer science
"

Agent Mediated Auctions: The Fishmarket Metaphor",Mathematics Subject Classification: 68—Computer science
"

Recurrence and entropy in symbolic dynamics and infinite ergodic theory",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
"

Formation, measurement, and imputation of social ties","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Extracción jerárquica de regiones de una secuencia de video",Mathematics Subject Classification: 68—Computer science
"

Exploiting Long-Term Behavior for Improved Memory System Performance",Mathematics Subject Classification: 68—Computer science
"

Enhancing Memory Controllers to Improve DRAM Power and Performance",Mathematics Subject Classification: 68—Computer science
"

Coding and Bounds for Two-Dimensional Constraints","Mathematics Subject Classification: 94—Information and communication, circuits"
"

",Mathematics Subject Classification: 68—Computer science
"

Dependent Types for Assembly Code Safety",Mathematics Subject Classification: 68—Computer science
"

Finding Error-Propagation Bugs in Large Software Systems Using Static Analysis",Mathematics Subject Classification: 68—Computer science
"

Extensible Untrusted Code Verification",Mathematics Subject Classification: 68—Computer science
"

Enabling Intelligent Organizations: An Electronic Institutions Approach for Building Agent Oriented Information Systems",Mathematics Subject Classification: 68—Computer science
"

Type Qualifiers: Lightweight Specifications to Improve Software Quality",Mathematics Subject Classification: 68—Computer science
"

Ontology-based Access Control in Open Scenarios: Applications to Social Networks and the Cloud",Mathematics Subject Classification: 68—Computer science
"

Satisfiability-based Program Reasoning and Program Synthesis",Mathematics Subject Classification: 68—Computer science
"

Reducing Waste in Memory Hierarchies",Mathematics Subject Classification: 68—Computer science
"

Sound, precise and efficient static race detection for multithreaded programs",Mathematics Subject Classification: 68—Computer science
"

Incremental Active Learning of Sensorimotor Models in Developmental Robotics",Mathematics Subject Classification: 68—Computer science
"

The Generalized External Order, and Applications to Zonotopal Algebra","Mathematics Subject Classification: 06—Order, lattices, ordered algebraic structures"
"

Security and Privacy Issues in some Special-Purpose Networks",Mathematics Subject Classification: 68—Computer science
"

Sistema de aprendizaje y reconocimiento de objetos 3D apartir de imÃ¡genes planas",Mathematics Subject Classification: 68—Computer science
"

Navigation system using passive collaborative control adapted to user profile for a rollator device",Mathematics Subject Classification: 68—Computer science
"

Bounds and Constructions of Linear Codes","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Client-Side Privacy-Enhancing Technologies in Web Search",Mathematics Subject Classification: 68—Computer science
"

Contribucions a la microagregació per a la protecció de dades estadístiques",Mathematics Subject Classification: 62—Statistics
"

Enhancing Drivers’ Privacy in Urban Electronic Road Pricing Systems",Mathematics Subject Classification: 68—Computer science
"

Transparent Protection of Data",Mathematics Subject Classification: 68—Computer science
"

Das Anfangsrandwertproblem für monoenergetische Neutronen in einer ebenen Platte",Mathematics Subject Classification: 35—Partial differential equations
"

Locally Decodable Codes and Their Applications",Mathematics Subject Classification: 68—Computer science
"

Topological tensor products and the convolution of vector-valued distributions",Mathematics Subject Classification: 46—Functional analysis
"

Microarchitectural modeling for timing analysis of embedded software",Mathematics Subject Classification: 68—Computer science
"

A Multiagent Approach to Qualitative Navigation in Robotics",Mathematics Subject Classification: 68—Computer science
"

Secure Delegation of Computing and Data in Unsafe Distributed Systems",Mathematics Subject Classification: 68—Computer science
"

Toward a universal privacy and information-preserving framework for individual data exchange",Mathematics Subject Classification: 68—Computer science
"

Outsourcing Computation on Non-Encrypted Sensitive Data to Untrusted Clouds",Mathematics Subject Classification: 68—Computer science
"

Topics in Property-Testing",Mathematics Subject Classification: 68—Computer science
"

Positional Games on Graphs",Mathematics Subject Classification: 05—Combinatorics
"

Privacy in Distributed Systems",Mathematics Subject Classification: 68—Computer science
"

Efficient Parallel Optimizations for All Pairs Similarity Search",Mathematics Subject Classification: 68—Computer science
"

Efficient Cloud Backup and Private Search",Mathematics Subject Classification: 68—Computer science
"

Private Computation and Correlated Randomness",Mathematics Subject Classification: 68—Computer science
"

Energy transfer in molecular collisions: The microscopic and macroscopic description and the connection between them","Mathematics Subject Classification: 82—Statistical mechanics, structure of matter"
"

Metodologia de identificacion e interpretacion de perfiles dinamicos",Mathematics Subject Classification: 68—Computer science
"

",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
"

Pattern Formation in Spatially Forced Systems: Application to Vegetation Restoration",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Topics in the analytic theory of L-functions and harmonic Maass forms",Mathematics Subject Classification: 11—Number theory
"

Pseudorandomness and Computational Difficulty",Mathematics Subject Classification: 68—Computer science
"

Connections between Classical and Umbral Moonshine",Mathematics Subject Classification: 11—Number theory
"

Cryptography in Constant Parallel Time",Mathematics Subject Classification: 68—Computer science
"

Tilings, Anticodes, and Multidimensional Coding","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Understanding and Generating Language with Abstract Meaning Representation",Mathematics Subject Classification: 68—Computer science
"

Information theory of reduced dynamical systems",Mathematics Subject Classification: 37—Dynamical systems and ergodic theory
"

",Mathematics Subject Classification: 05—Combinatorics
"

Counting number fields by discriminant",Mathematics Subject Classification: 11—Number theory
"

Twistor Actions for Gauge Theory and Gravity",Mathematics Subject Classification: 83—Relativity and gravitational theory
"

The projective to Einstein correspondence and a kink on a wormhole",Mathematics Subject Classification: 53—Differential geometry
"

Overpartition Ranks, Cranks, and Frobenius Representations",Mathematics Subject Classification: 11—Number theory
"

Algorithmic and Complexity Results for Boolean and Pseudo-Boolean Functions.","Mathematics Subject Classification: 90—Operations research, mathematical programming"
"

",Mathematics Subject Classification: 81—Quantum Theory
"

",Mathematics Subject Classification: 83—Relativity and gravitational theory
"

Zeros of Certain Combinations of Products of Eisenstein Series",Mathematics Subject Classification: 11—Number theory
"

Models of Distributed Associative Memory",Mathematics Subject Classification: 62—Statistics
"

",Mathematics Subject Classification: 11—Number theory
"

Spherically Symmetric Fields in Gravitational Theory",Mathematics Subject Classification: 83—Relativity and gravitational theory
"

Several New Results in Analytic Number Theory",Mathematics Subject Classification: 11—Number theory
"

Computational Learning of Probabilistic Grammars in the Unsupervised Setting",Mathematics Subject Classification: 68—Computer science
"

Neutral ASD Conformal Structures with Null Killing Vectors",Mathematics Subject Classification: 53—Differential geometry
"

",Mathematics Subject Classification: 83—Relativity and gravitational theory
"

Observational Space-times",Mathematics Subject Classification: 83—Relativity and gravitational theory
"

The Generalized Prime Number Theorem for Automorphic L-functions",Mathematics Subject Classification: 11—Number theory
"

Price feedback and hybrid diffusions in finance",Mathematics Subject Classification: 60—Probability theory and stochastic processes
"

Conservation and Flux Laws in General Relativity",Mathematics Subject Classification: 83—Relativity and gravitational theory
"

Massive Spinning Particles and Twistor Theory",Mathematics Subject Classification: 83—Relativity and gravitational theory
