thesis,subject
"

",Mathematics Subject Classification: 85—Astronomy and astrophysics
"

Uber eine neue Methode die Bahnen der Doppelsterne zu berechnen",Mathematics Subject Classification: 85—Astronomy and astrophysics
"

Beräkning af en theori för planeten Neptunus",Mathematics Subject Classification: 85—Astronomy and astrophysics
"

Commentatio historiam calculi variationum inde ab origine calculi differentialis atque integralis usque ad nostra tempora complectens",Mathematics Subject Classification: 01—History and biography
"

Bestimmung der Bahn des Cometen 1892 III (Holmes)",Mathematics Subject Classification: 85—Astronomy and astrophysics
"

Untersuchung über die gegenseitigen Störungen Jupiters und Saturns (1830) / Die Theorie der Mondbewegung (1838)",Mathematics Subject Classification: 85—Astronomy and astrophysics
"

Über Primzahlen und die Zusammensetzung der Zahlen aus ihnen in dem rationellen und in complex-irrationellen Zahlengebieten",Mathematics Subject Classification: 11—Number theory
"

Untersuchung uber die allgemeinen Jupiter-Störungen des Planeten Thetis",Mathematics Subject Classification: 85—Astronomy and astrophysics
"

A Comparison of Electrodynamic Theories","Mathematics Subject Classification: 78—Optics, electromagnetic theory"
"

Dissertationem inauguralem de pulmonibus",Mathematics Subject Classification: 92—Biology and other natural sciences
"

No dissertation; did not officially graduate as a result of a student protest","Mathematics Subject Classification: 80—Classical thermodynamics, heat transfer"
"

Circa problemeta aliqvot ad geometriam practicam spectantes",Mathematics Subject Classification: 51—Geometry
"

Über die verschiedenen Methoden der Bestimmung der Größe und Gestalt der Erde",Mathematics Subject Classification: 86—Geophysics
"

Dissertatio inauguralis sistens observationes physicas et chemicas de electricitate et galvanismo",Mathematics Subject Classification: 92—Biology and other natural sciences
"

Untersuchungen über die thermoëlectrischen Ströme","Mathematics Subject Classification: 78—Optics, electromagnetic theory"
"

",Mathematics Subject Classification: 85—Astronomy and astrophysics
"

Extracting and Aggregating Information about Situations over Time to
Present the Context of News",Mathematics Subject Classification: 68—Computer science
"

The Role of Relevance in Frictionless Information Systems: Building Systems
that Delight and Inform",Mathematics Subject Classification: 68—Computer science
"

Using Explicit Expressions of Preference and Choice in Social Media for
Prediction and Recommendation",Mathematics Subject Classification: 68—Computer science
"

Narrative Constraint Systems: How the Networked Computer can Tell Stories",Mathematics Subject Classification: 68—Computer science
"

Flexible Learning in a Multi-Component Planning System",Mathematics Subject Classification: 68—Computer science
"

Integrating Organizational Memory with Performance Support: A Task
Model-Based Approach",Mathematics Subject Classification: 68—Computer science
"

Augmenting News Stories with Distinct Information",Mathematics Subject Classification: 68—Computer science
"

Simulating Human Performance in Complex, Dynamic Environments",Mathematics Subject Classification: 68—Computer science
"

Information Access in Context: Experiences with the Watson System",Mathematics Subject Classification: 68—Computer science
"

Analogical process performance and training","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The perception of multiple objects: A parallel, distributed processing approach","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Issues for supporting notetaking and note using in the computer environment","Mathematics Subject Classification: 94—Information and communication, circuits"
"

The role of external resources in the management of multiple activities","Mathematics Subject Classification: 94—Information and communication, circuits"
"

The learning and planning of actions","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

The Expandable Network Disk",Mathematics Subject Classification: 68—Computer science
"

The Organization of Serial Order in Typing","Mathematics Subject Classification: 91—Game theory, economics, social and behavioral sciences"
"

Tetragonometriae specimen",Mathematics Subject Classification: 51—Geometry
"

Everyday listening and auditory icons","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Symbol acquisition in humans and neural (PDP) networks","Mathematics Subject Classification: 94—Information and communication, circuits"
"

De iis atmosphaere particulis quibus lumen reflectitur","Mathematics Subject Classification: 78—Optics, electromagnetic theory"
"

Ground State Parities of $N^{14}$ and $C^{14}$",Mathematics Subject Classification: 81—Quantum Theory
"

Rule-Based Systems for Data Processing",Mathematics Subject Classification: 93—Systems theory; control
"

Sparsity-Cognizant Algorithms with Applications to Communications, Signal Processing, and the Smart Grid","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Multiple Access over Time- and Frequency-Selective Channels","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Information Diversity in Web Search",Mathematics Subject Classification: 68—Computer science
"

Resource Management for Sustainable Power Grids and Wireless Networks: Distributed and Robust Designs","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Bayesian Networks: Performance Analysis of Loopy Belief Propagation","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Explanation-Mediated Vision: Making Sense of the World through Causal Analysis",Mathematics Subject Classification: 68—Computer science
"

Network arts: Emotional interaction in media arts and informational retrieval",Mathematics Subject Classification: 68—Computer science
"

Sparse Conver Optimisation on GPUs.",Mathematics Subject Classification: 00—General
"

Geo Optimal Deconvolution",Mathematics Subject Classification: 93—Systems theory; control
"

Measuring and Mining Dynamic Networks",Mathematics Subject Classification: 68—Computer science
"

Finding critical individuals in dynamic networks",Mathematics Subject Classification: 05—Combinatorics
"

Advances in linguistic data-oriented uncertainty modeling, reasoning, and intelligent decision making",Mathematics Subject Classification: 68—Computer science
"

Fading Channel Equalization and Video Traffic Classification Using Nonlinear Signal Processing Techniques","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Identification of Layered Media Systems",Mathematics Subject Classification: 93—Systems theory; control
"

Maximum-Likelihood Seismic Deconvolution",Mathematics Subject Classification: 93—Systems theory; control
"

Estimation of Parameters in Lossless Layered Media Systems",Mathematics Subject Classification: 93—Systems theory; control
"

The Identification of Overdamped Processes in the Time-Domain",Mathematics Subject Classification: 93—Systems theory; control
"

Random amplitude and polynomial phase modeling of nonstationary processes using higher-order and cyclic statistics","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Multiple Description Coding for Correlated Multi-Path Networks","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Genomic Signal Processing and Regulatory Networks: Representation, Dynamics and Control","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Data Hiding Techniques for Digital Rights Management of Multimedia Archives","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Interference Channels with Generalized Feedback","Mathematics Subject Classification: 94—Information and communication, circuits"
"

",Mathematics Subject Classification: 68—Computer science
"

Error Control for Continuous Media and Large Scale Multicast Applications",Mathematics Subject Classification: 68—Computer science
"

Per-File, Full-Data-Path Secure Deletion for Electronic Storage",Mathematics Subject Classification: 68—Computer science
"

Combinatorial Methods in Kinship Analysis",Mathematics Subject Classification: 68—Computer science
"

Data Structures for Formal Verification of Circuit Designs",Mathematics Subject Classification: 68—Computer science
"

An Architecture for Networking Resilience","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Future Internet Routing Design for Massive Failures and Attacks","Mathematics Subject Classification: 94—Information and communication, circuits"
"

Anycast Stability, Security and Latency in The Domain Name System (DNS) and Content Deliver Networks (CDNs)",Mathematics Subject Classification: 68—Computer science
"

Understanding and Exploiting the Acoustic Propagation Delay in Underwater Sensor Networks",Mathematics Subject Classification: 68—Computer science
"

Boltzmann:  An Object-Oriented Particle Simulation Programming System",Mathematics Subject Classification: 68—Computer science
"

Finding Birds in Trees: Building Categories from Image Streams",Mathematics Subject Classification: 68—Computer science
"

Low-Power Wireless Links Properties: Modeling and Applications in Sensor Networks",Mathematics Subject Classification: 68—Computer science
"

Data security in unattended wireless sensor networks",Mathematics Subject Classification: 68—Computer science
"

Securing network resources in opportunistic and delay-tolerant networks",Mathematics Subject Classification: 68—Computer science
"

Decentralized Security Services",Mathematics Subject Classification: 68—Computer science
"

Self-Certifying File System",Mathematics Subject Classification: 68—Computer science
"

Improving Web Site Security with Data Flow Management",Mathematics Subject Classification: 68—Computer science
"

A Differential Approach to Undefined Behavior Detection",Mathematics Subject Classification: 68—Computer science
"

Building Practical Systems That Compute on Encrypted Data",Mathematics Subject Classification: 68—Computer science
"

Efficient flooding for wireless mesh networks",Mathematics Subject Classification: 68—Computer science
"

Flexible, Wide-Area Storage for Distributed Systems Using Semantic Cues",Mathematics Subject Classification: 68—Computer science
"

Parallel Execution for Conflicting Transactions",Mathematics Subject Classification: 68—Computer science
"

Information Flow Control for Secure Web Sites",Mathematics Subject Classification: 68—Computer science
"

Modernizing Operating System Interfaces to Improve Application Security and Performance",Mathematics Subject Classification: 68—Computer science
"

Data Storage Considered Modular",Mathematics Subject Classification: 68—Computer science
"

Policy Management and Decentralized Debugging in the Asbestos Operating System",Mathematics Subject Classification: 68—Computer science
"

An Extension-Oriented Compiler",Mathematics Subject Classification: 68—Computer science
"

A Distributed Hash Table",Mathematics Subject Classification: 68—Computer science
